INSERT INTO HARD_DRIVE VALUES( 'WD10EZEX', 'Western Digital', '44.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ARC100-25SAT3-480G', 'OCZ', '139.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-M5E250BW', 'Samsung', '77.99', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST6000VN0001', 'Seagate', '302.55', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7CS1111-240-RB', 'PNY', '80.75', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'T253L5240GMC101', 'Team', '59.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3000VN000', 'Seagate', '99.99', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'PI960GS25SSDR', 'Patriot', '319.99', '1GB', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5002ABYS', 'Western Digital', '39.95', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SS200S3/30G', 'Kingston', '39.99', 'N/A', 'SSD', '30GB');
INSERT INTO HARD_DRIVE VALUES( 'FM-25S3-240GPF', 'G.Skill', '74.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD7500BPKX', 'Western Digital', '58.89', '16MB', '7200RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'WD6001F9YZ', 'Western Digital', '389.99', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1001X06XDTL', 'Western Digital', '199.90', 'N/A', 'Hybrid', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW120H601', 'Intel', '69.88', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDXPS-960G-G25', 'Sandisk', '329.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'HD103SJ', 'Samsung', '0', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'RADEON-R7SSD-480G', 'AMD', '139.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3320418AS', 'Seagate', '31.50', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDRC-032G-G26', 'Sandisk', '39.99', 'N/A', 'SSD', '32GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000VX000', 'Seagate', '56.49', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EZRZ', 'Western Digital', '52.99', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDEC240GB', 'Mushkin', '69.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST500LM021', 'Seagate', '39.77', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PD512BW', 'Samsung', '285.98', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1003FBYX', 'Western Digital', '69.00', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BP480G410', 'Intel', '283.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'WD7500AALX', 'Western Digital', '46.00', '32MB', '7200RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'STCL2000400', 'Seagate', '103.28', '64MB', 'Hybrid', '2TB');
INSERT INTO HARD_DRIVE VALUES( '7K3000', 'Hitachi', '79.95', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'WD20PURX', 'Western Digital', '81.00', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'STBD3000100', 'Seagate', '102.98', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000NM0033', 'Seagate', '122.40', '128MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDRE512GB', 'Mushkin', '149.99', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'CT250MX200SSD6', 'Crucial', '97.24', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( '628065-B21', 'HP', '610.40', 'N/A', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'HTS725050A7E630', 'Hitachi', '49.89', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BB012T401', 'Intel', '949.99', 'N/A', 'SSD', '1.2TB');
INSERT INTO HARD_DRIVE VALUES( 'RAIDR EXPRESS', 'Asus', '349.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000AVVS', 'Western Digital', '36.50', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( '240GB INTEL 730 SERIES SATA-3 SSD', 'Intel', '205.00', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'T253L3240GMC101', 'Team', '0', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7CS1211-240-RB', 'PNY', '84.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW120H6R5', 'Intel', '49.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'WD20EARX', 'Western Digital', '117.75', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'CT480BX200SSD1', 'Crucial', '148.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP900S3-256GM-C', 'A-Data', '79.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'CT032V4SSD2', 'Crucial', '35.95', 'N/A', 'SSD', '32GB');
INSERT INTO HARD_DRIVE VALUES( 'MZVPV128HDGM-00000', 'Samsung', '124.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS748XZSTA', 'Toshiba', '189.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMX020T410', 'Intel', '2500.98', 'N/A', 'SSD', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD20NPVX', 'Western Digital', '115.88', '8MB', '5900RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EADS', 'Western Digital', '0', '32MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10PURX', 'Western Digital', '59.99', '64MB', '5900RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD2001FASS', 'Western Digital', '243.95', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200LPVX', 'Western Digital', '42.99', '8MB', '5400RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'WD20EARS', 'Western Digital', '127.95', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TD120BW', 'Samsung', '92.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'H3IK40003272SP', 'Hitachi', '169.00', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'RADEON-R7SSD-240G', 'OCZ', '64.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SNV425-S2BD/128GB', 'Kingston', '0', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'HDWD110XZSTA', 'Toshiba', '49.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'HTS547550A9E384', 'Hitachi', '70.45', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SD8SNAT-128G-1122', 'Sandisk', '54.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'PH3300U-1I72', 'Toshiba', '79.99', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F128GBLX', 'Corsair', '60.98', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WDBSLA0020HNC-NRSN', 'Western Digital', '134.00', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ST31000528AS', 'Seagate', '69.89', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200AVVS', 'Western Digital', '25.00', '8MB', '5400RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000AAJS', 'Western Digital', '38.95', '8MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000LM003', 'Seagate', '94.78', '32MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7CS2111-240-RB', 'PNY', '84.43', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F240GBLSB', 'Corsair', '94.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDEC60GB', 'Mushkin', '38.98', 'N/A', 'SSD', '60GB');
INSERT INTO HARD_DRIVE VALUES( 'SSD9SC120GMDF-RB', 'PNY', '69.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000VN000', 'Seagate', '68.49', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ST5000NM0024', 'Seagate', '209.99', '128MB', '7200RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10J31X', 'Western Digital', '86.99', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( '0S03660', 'Hitachi', '124.99', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW240H601', 'Intel', '105.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F120GBLS', 'Corsair', '98.02', '256MB', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F512GBLX', 'Corsair', '269.99', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'CT240BX200SSD1', 'Crucial', '84.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD40EZRZ', 'Western Digital', '136.22', '64MB', '5400RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW120A4K5', 'Intel', '104.24', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BA800G301', 'Intel', '1200.00', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PC128B/WW', 'Samsung', '91.89', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'MZVPV512HDGL-00000', 'Samsung', '345.75', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'HN-M101MBB/ST1000LM024', 'Samsung', '57.80', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CT250MX200SSD4', 'Crucial', '97.24', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7CS2111-480-RB', 'PNY', '150.67', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000VN0001', 'Seagate', '110.00', '128MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'TS32GSSD370', 'Transcend', '39.99', 'N/A', 'SSD', '32GB');
INSERT INTO HARD_DRIVE VALUES( 'Force Series LS', 'Corsair', '59.42', 'N/A', 'SSD', '60GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW240H6R5', 'Intel', '89.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ZTSSD-A4P-120G', 'Zotac', '44.99', '32MB', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3750330NS', 'Seagate', '48.00', '32MB', '7200RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'MZVPV256HDGL-00000', 'Samsung', '195.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'CT120M500SSD1', 'Crucial', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'TS128GSSD370S', 'Transcend', '57.18', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'CT256V4SSD2', 'Crucial', '92.95', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'WD2502ABYS', 'Western Digital', '0', '16MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'PI480GS25SSDR', 'Patriot', '151.99', '512MB', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'HE103SJ', 'Samsung', '72.00', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( '0J38065', 'Hitachi', '43.89', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE250KW', 'Samsung', '0', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SHPM2280P2H/480G', 'Kingston', '399.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'PX-256M5S', 'Plextor', '0', '512MB', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'WD7500BPVX', 'Western Digital', '47.89', '8MB', '5400RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'ASX900S3-256GM-C', 'A-Data', '232.50', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200AAJB', 'Western Digital', '21.35', '8MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'SH103S3/480G', 'Kingston', '324.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'TS128GMTS800', 'Transcend', '59.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WD30PURX', 'Western Digital', '106.99', '64MB', '5400RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( '0J26005', 'Hitachi', '48.78', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP610SS3-1TM-C', 'A-Data', '379.99', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000AZRX', 'Western Digital', '48.99', '64MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'TS128GSSD370', 'Transcend', '57.89', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'ST6000NM0004', 'Seagate', '329.89', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'MBF245LRC', 'Toshiba', '322.98', '16MB', '10025RPM', '450GB');
INSERT INTO HARD_DRIVE VALUES( '0S03839', 'Hitachi', '269.00', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000LM024', 'Seagate', '52.99', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10SPCX', 'Western Digital', '85.35', '16MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST9250610NS', 'Seagate', '45.99', '64MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDPX800G301', 'Intel', '1671.47', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'WDBH2D0020HNC-NRSN', 'Western Digital', '69.99', '64MB', '5900RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000VX001', 'Seagate', '59.99', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10JFCX', 'Western Digital', '68.99', '16MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PC512D/AM', 'Samsung', '649.99', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS3B7A/960G Bundle', 'Kingston', '404.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDCR480GB-7', 'Mushkin', '146.98', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'HUH728060ALE604 (0F23669)', 'Hitachi', '550.98', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'WD50EFRX', 'Western Digital', '194.99', '64MB', '5400RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW240A401', 'Intel', '129.95', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE250LW', 'Samsung', '0', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-M5E500BW', 'Samsung', '147.99', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ST4000VN0001', 'Seagate', '204.78', '128MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'HDKPC05', 'Toshiba', '49.99', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HDWE150XZSTA', 'Toshiba', '151.99', '128MB', '7200RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'WD6400AAKS', 'Western Digital', '59.99', '16MB', '7200RPM', '640GB');
INSERT INTO HARD_DRIVE VALUES( 'WDBH2D0030HNC-NRSN', 'Western Digital', '84.99', '32MB', '5900RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDEC480GB', 'Mushkin', '0', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7CS1111-480-RB', 'PNY', '159.79', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EARS', 'Western Digital', '69.89', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE120KW', 'Samsung', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'HMH7210A0ALN604', 'Hitachi', '0', '256MB', '7200RPM', '10TB');
INSERT INTO HARD_DRIVE VALUES( 'CT128M4SSD2', 'Crucial', '142.00', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3000VX000', 'Seagate', '104.99', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS312XZSTA', 'Toshiba', '59.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'HDWE140XZSTA', 'Toshiba', '134.00', '128MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'ASP900S3-512GM-C', 'A-Data', '159.99', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'STBD4000400', 'Seagate', '144.99', '64MB', '5900RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'ST31000340NS', 'Seagate', '0', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'HD204UI', 'Samsung', '128.00', '32MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZHPV128HDGM-0000', 'Samsung', '100.98', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WD6000HLHX', 'Western Digital', '193.00', '32MB', '10000RPM', '600GB');
INSERT INTO HARD_DRIVE VALUES( '0J22413', 'Hitachi', '51.50', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000BPKX', 'Western Digital', '54.99', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'PX-G128M6e', 'Plextor', '136.84', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'SH103S3B/120G', 'Kingston', '119.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'CT960M500SSD1', 'Crucial', '429.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'SD8SNAT-256G-1122', 'Sandisk', '97.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'PI240GS325SSDR', 'Patriot', '72.99', '256MB', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'HDWD130XZSTA', 'Toshiba', '89.99', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'VTR180-25SAT3-240G', 'OCZ', '69.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'PX-G512M6e', 'Plextor', '449.50', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7CS1111-120-RB', 'PNY', '59.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'TRO-PCIe128GBPRO-X', 'Eluktro', '99.91', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'SD6SB1M-128G-1022i', 'Sandisk', '59.95', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'SH103S3/90G', 'Kingston', '55.19', 'N/A', 'SSD', '90GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW480H601', 'Intel', '198.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'PBT240GS25SSDBK', 'Patriot', '69.99', '256MB', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3500320AS', 'Seagate', '54.00', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD50EZRX', 'Western Digital', '173.66', '64MB', '5400RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'MQ01ABD100', 'Toshiba', '52.99', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200BEKX', 'Western Digital', '47.00', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'RVD350-FHPX28-960G', 'OCZ', '599.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000DM004', 'Seagate', '66.47', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'PH2100U-1I54', 'Toshiba', '48.99', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDXP-120G-G25', 'Sandisk', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS712XZSTA', 'Toshiba', '59.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'VTR180-25SAT3-960G', 'OCZ', '269.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS3B7A/240G Bundle', 'Kingston', '117.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000NM0044', 'Seagate', '198.98', '128MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S3N7A/120G', 'Kingston', '64.26', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST240HM000', 'Seagate', '0', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F960GBLSB', 'Corsair', '366.19', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'VTX4-25SAT3-128G', 'OCZ', '100.00', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WD2000F9YZ', 'Western Digital', '124.99', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'SKC300S37A/120G', 'Kingston', '66.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2CW120A310', 'Intel', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1500DM003', 'Seagate', '141.00', '64MB', '7200RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000HHTZ', 'Western Digital', '199.33', '64MB', '10000RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS325XZSTA', 'Toshiba', '87.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST6000NM0104', 'Seagate', '0', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'RVD350-FHPX28-480G', 'OCZ', '449.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'WD7500AZEX', 'Western Digital', '58.99', '64MB', '7200RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F360GBGS-BK', 'Corsair', '286.98', 'N/A', 'SSD', '360GB');
INSERT INTO HARD_DRIVE VALUES( 'WDBAAZ0020HNC-NRSN', 'Western Digital', '256.95', '32MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'HDKPC09', 'Toshiba', '72.99', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD20EURS', 'Western Digital', '73.95', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'TS256GSSD370', 'Transcend', '89.89', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'SM2280S3/120GB', 'Kingston', '73.99', '256MB', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'RVD350-FHPX28-240G', 'OCZ', '334.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ASX900S3-512GM-C', 'A-Data', '0', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'TS512GSSD370S', 'Transcend', '175.89', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'PX-AG256M6E', 'Plextor', '259.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP610SS3-128GM-C', 'A-Data', '62.92', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WD20EZRZ', 'Western Digital', '69.99', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HD502HJ', 'Samsung', '73.75', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD2000FYYZ', 'Western Digital', '113.45', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ST4000NM0033', 'Seagate', '199.99', '128MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'ST9500423AS', 'Seagate', '59.00', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDCR120GB-7', 'Mushkin', '53.45', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'MZHPU512HCGL-00004', 'Samsung', '306.48', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-M5E120BW', 'Samsung', '69.00', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST4000VN000', 'Seagate', '144.40', '64MB', '5900RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000AZLX', 'Western Digital', '62.50', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD7502ABYS', 'Western Digital', '0', '32MB', '7200RPM', '750GB');
